"payment_month","user_id","game_name","total_revenue","new_mrr","expansion_revenue","contraction_revenue","back_from_churn_revenue","churned_revenue","churn_month","language","has_older_device_model","age"
2022-10-01,"7vnYIRqjBNlAyBbtPg02tQ==",game 3,158.16,,84.87,,,,,uk,false,21
2022-11-01,"7vnYIRqjBNlAyBbtPg02tQ==",game 3,23.49,,,-134.67,,,,uk,false,21
2022-12-01,"7vnYIRqjBNlAyBbtPg02tQ==",game 3,47.31,,23.82,,,47.31,2023-01-01,uk,false,21
2022-09-01,"7YaJfLI3RPGUEN2esrQxsQ==",game 3,35.28,35.28,,,,35.28,2022-10-01,ru,false,15
2022-12-01,"7YaJfLI3RPGUEN2esrQxsQ==",game 3,26.67,,,,26.67,26.67,2023-01-01,ru,false,15
2022-07-01,"7zai/c69uF/NhB95HgKuYw==",game 3,62.25,62.25,,,,,,uk,false,16
2022-08-01,"7zai/c69uF/NhB95HgKuYw==",game 3,75.15,,12.90,,,,,uk,false,16
2022-09-01,"7zai/c69uF/NhB95HgKuYw==",game 3,48.48,,,-26.67,,,,uk,false,16
2022-10-01,"7zai/c69uF/NhB95HgKuYw==",game 3,22.77,,,-25.71,,,,uk,false,16
2022-11-01,"7zai/c69uF/NhB95HgKuYw==",game 3,41.04,,18.27,,,41.04,2022-12-01,uk,false,16
2022-04-01,"7zbxKst2yi3pfdVI8iEChw==",game 3,23.31,23.31,,,,23.31,2022-05-01,ru,false,15
2022-06-01,"7zbxKst2yi3pfdVI8iEChw==",game 3,13.05,,,,13.05,13.05,2022-07-01,ru,false,15
2022-08-01,"7zbxKst2yi3pfdVI8iEChw==",game 3,18.3,,,,18.3,18.3,2022-09-01,ru,false,15
